runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
24,1,10146,FitnessBad0,Greedy,11,35,true,false,false
24,1,11293,FitnessBad0,Greedy,12,39,true,false,false
24,1,35271,FitnessBad0,Greedy,13,45,true,false,false
24,1,56621,FitnessBad0,Greedy,14,51,true,false,false
24,1,97280,FitnessBad0,Greedy,15,56,true,false,false
24,1,105660,FitnessBad0,Greedy,16,60,true,false,false
25,1,5,FitnessBad0,Greedy,8,19,true,false,false
25,1,185,FitnessBad0,Greedy,9,25,true,false,false
25,0,2320,FitnessBad0,Greedy,10,29,true,false,false
25,1,9663,FitnessBad0,Greedy,11,35,true,false,false
25,1,10667,FitnessBad0,Greedy,12,39,true,false,false
25,1,33317,FitnessBad0,Greedy,13,45,true,false,false
25,1,50913,FitnessBad0,Greedy,14,51,true,false,false
25,1,93145,FitnessBad0,Greedy,15,56,true,false,false
25,1,106318,FitnessBad0,Greedy,16,60,true,false,false
26,1,9,FitnessBad0,Greedy,8,19,true,false,false
26,1,277,FitnessBad0,Greedy,9,25,true,false,false
26,0,2533,FitnessBad0,Greedy,10,29,true,false,false
26,1,10209,FitnessBad0,Greedy,11,35,true,false,false
26,1,10849,FitnessBad0,Greedy,12,39,true,false,false
26,1,33497,FitnessBad0,Greedy,13,45,true,false,false
26,1,50704,FitnessBad0,Greedy,14,51,true,false,false
26,1,93648,FitnessBad0,Greedy,15,56,true,false,false
26,1,105784,FitnessBad0,Greedy,16,60,true,false,false
27,1,5,FitnessBad0,Greedy,8,19,true,false,false
27,1,188,FitnessBad0,Greedy,9,25,true,false,false
27,0,2380,FitnessBad0,Greedy,10,29,true,false,false
27,1,10687,FitnessBad0,Greedy,11,35,true,false,false
27,1,11465,FitnessBad0,Greedy,12,39,true,false,false
27,1,34556,FitnessBad0,Greedy,13,45,true,false,false
27,1,50491,FitnessBad0,Greedy,14,51,true,false,false
27,1,93076,FitnessBad0,Greedy,15,56,true,false,false
27,1,105821,FitnessBad0,Greedy,16,60,true,false,false
28,1,0,FitnessBad0,Greedy,8,19,true,false,false
28,1,189,FitnessBad0,Greedy,9,25,true,false,false
28,0,2256,FitnessBad0,Greedy,10,29,true,false,false
28,1,9818,FitnessBad0,Greedy,11,35,true,false,false
28,1,10664,FitnessBad0,Greedy,12,39,true,false,false
28,1,33358,FitnessBad0,Greedy,13,45,true,false,false
28,1,50085,FitnessBad0,Greedy,14,51,true,false,false
28,1,93619,FitnessBad0,Greedy,15,56,true,false,false
28,1,106761,FitnessBad0,Greedy,16,60,true,false,false
29,1,8,FitnessBad0,Greedy,8,19,true,false,false
29,1,195,FitnessBad0,Greedy,9,25,true,false,false
29,0,2278,FitnessBad0,Greedy,10,29,true,false,false
29,1,9953,FitnessBad0,Greedy,11,35,true,false,false
29,1,10503,FitnessBad0,Greedy,12,39,true,false,false
29,1,33259,FitnessBad0,Greedy,13,45,true,false,false
29,1,50474,FitnessBad0,Greedy,14,51,true,false,false
29,1,92769,FitnessBad0,Greedy,15,56,true,false,false
29,1,105664,FitnessBad0,Greedy,16,60,true,false,false
30,1,7,FitnessBad0,Greedy,8,19,true,false,false
30,1,227,FitnessBad0,Greedy,9,25,true,false,false
30,0,2495,FitnessBad0,Greedy,10,29,true,false,false
30,1,9961,FitnessBad0,Greedy,11,35,true,false,false
30,1,10729,FitnessBad0,Greedy,12,39,true,false,false
30,1,33301,FitnessBad0,Greedy,13,45,true,false,false
30,1,50450,FitnessBad0,Greedy,14,51,true,false,false
30,1,92308,FitnessBad0,Greedy,15,56,true,false,false
30,1,105727,FitnessBad0,Greedy,16,60,true,false,false
1,1,0,FitnessBad0,Greedy,8,19,true,false,false
1,1,201,FitnessBad0,Greedy,9,25,true,false,false
1,0,1948,FitnessBad0,Greedy,10,29,true,false,false
1,1,9063,FitnessBad0,Greedy,11,35,true,false,false
1,1,8865,FitnessBad0,Greedy,12,39,true,false,false
1,1,27854,FitnessBad0,Greedy,13,45,true,false,false
1,1,41304,FitnessBad0,Greedy,14,51,true,false,false
1,1,77589,FitnessBad0,Greedy,15,56,true,false,false
1,1,87703,FitnessBad0,Greedy,16,60,true,false,false
2,1,10,FitnessBad0,Greedy,8,19,true,false,false
2,1,197,FitnessBad0,Greedy,9,25,true,false,false
2,0,1831,FitnessBad0,Greedy,10,29,true,false,false
2,1,6772,FitnessBad0,Greedy,11,35,true,false,false
2,1,9036,FitnessBad0,Greedy,12,39,true,false,false
2,1,27227,FitnessBad0,Greedy,13,45,true,false,false
2,1,41334,FitnessBad0,Greedy,14,51,true,false,false
2,1,78220,FitnessBad0,Greedy,15,56,true,false,false
2,1,87697,FitnessBad0,Greedy,16,60,true,false,false
3,1,6,FitnessBad0,Greedy,8,19,true,false,false
3,1,215,FitnessBad0,Greedy,9,25,true,false,false
3,0,1857,FitnessBad0,Greedy,10,29,true,false,false
3,1,7084,FitnessBad0,Greedy,11,35,true,false,false
3,1,8778,FitnessBad0,Greedy,12,39,true,false,false
3,1,27616,FitnessBad0,Greedy,13,45,true,false,false
3,1,41607,FitnessBad0,Greedy,14,51,true,false,false
3,1,79047,FitnessBad0,Greedy,15,56,true,false,false
3,1,87054,FitnessBad0,Greedy,16,60,true,false,false
4,1,6,FitnessBad0,Greedy,8,19,true,false,false
4,1,215,FitnessBad0,Greedy,9,25,true,false,false
4,0,1908,FitnessBad0,Greedy,10,29,true,false,false
4,1,7070,FitnessBad0,Greedy,11,35,true,false,false
4,1,8762,FitnessBad0,Greedy,12,39,true,false,false
4,1,27408,FitnessBad0,Greedy,13,45,true,false,false
4,1,41558,FitnessBad0,Greedy,14,51,true,false,false
4,1,78254,FitnessBad0,Greedy,15,56,true,false,false
4,1,88072,FitnessBad0,Greedy,16,60,true,false,false
5,1,9,FitnessBad0,Greedy,8,19,true,false,false
5,1,212,FitnessBad0,Greedy,9,25,true,false,false
5,0,1867,FitnessBad0,Greedy,10,29,true,false,false
5,1,6974,FitnessBad0,Greedy,11,35,true,false,false
5,1,8811,FitnessBad0,Greedy,12,39,true,false,false
5,1,27440,FitnessBad0,Greedy,13,45,true,false,false
5,1,41484,FitnessBad0,Greedy,14,51,true,false,false
5,1,78058,FitnessBad0,Greedy,15,56,true,false,false
5,1,87354,FitnessBad0,Greedy,16,60,true,false,false
6,1,12,FitnessBad0,Greedy,8,19,true,false,false
6,1,222,FitnessBad0,Greedy,9,25,true,false,false
6,0,1963,FitnessBad0,Greedy,10,29,true,false,false
6,1,6989,FitnessBad0,Greedy,11,35,true,false,false
6,1,8853,FitnessBad0,Greedy,12,39,true,false,false
6,1,27374,FitnessBad0,Greedy,13,45,true,false,false
6,1,41335,FitnessBad0,Greedy,14,51,true,false,false
6,1,78655,FitnessBad0,Greedy,15,56,true,false,false
6,1,87805,FitnessBad0,Greedy,16,60,true,false,false
7,1,5,FitnessBad0,Greedy,8,19,true,false,false
7,1,185,FitnessBad0,Greedy,9,25,true,false,false
7,0,1839,FitnessBad0,Greedy,10,29,true,false,false
7,1,6819,FitnessBad0,Greedy,11,35,true,false,false
7,1,9155,FitnessBad0,Greedy,12,39,true,false,false
7,1,27484,FitnessBad0,Greedy,13,45,true,false,false
7,1,41470,FitnessBad0,Greedy,14,51,true,false,false
7,1,78503,FitnessBad0,Greedy,15,56,true,false,false
7,1,87494,FitnessBad0,Greedy,16,60,true,false,false
8,1,5,FitnessBad0,Greedy,8,19,true,false,false
8,1,216,FitnessBad0,Greedy,9,25,true,false,false
8,0,1836,FitnessBad0,Greedy,10,29,true,false,false
8,1,6957,FitnessBad0,Greedy,11,35,true,false,false
8,1,8773,FitnessBad0,Greedy,12,39,true,false,false
8,1,27114,FitnessBad0,Greedy,13,45,true,false,false
8,1,42208,FitnessBad0,Greedy,14,51,true,false,false
8,1,78093,FitnessBad0,Greedy,15,56,true,false,false
8,1,87505,FitnessBad0,Greedy,16,60,true,false,false
9,1,9,FitnessBad0,Greedy,8,19,true,false,false
9,1,211,FitnessBad0,Greedy,9,25,true,false,false
9,0,1850,FitnessBad0,Greedy,10,29,true,false,false
9,1,7126,FitnessBad0,Greedy,11,35,true,false,false
9,1,8994,FitnessBad0,Greedy,12,39,true,false,false
9,1,27069,FitnessBad0,Greedy,13,45,true,false,false
9,1,41797,FitnessBad0,Greedy,14,51,true,false,false
9,1,78278,FitnessBad0,Greedy,15,56,true,false,false
9,1,87508,FitnessBad0,Greedy,16,60,true,false,false
10,1,6,FitnessBad0,Greedy,8,19,true,false,false
10,1,189,FitnessBad0,Greedy,9,25,true,false,false
10,0,1829,FitnessBad0,Greedy,10,29,true,false,false
10,1,6828,FitnessBad0,Greedy,11,35,true,false,false
10,1,8934,FitnessBad0,Greedy,12,39,true,false,false
10,1,27406,FitnessBad0,Greedy,13,45,true,false,false
10,1,41696,FitnessBad0,Greedy,14,51,true,false,false
10,1,78247,FitnessBad0,Greedy,15,56,true,false,false
10,1,87581,FitnessBad0,Greedy,16,60,true,false,false
11,1,8,FitnessBad0,Greedy,8,19,true,false,false
11,1,200,FitnessBad0,Greedy,9,25,true,false,false
11,0,1833,FitnessBad0,Greedy,10,29,true,false,false
11,1,7038,FitnessBad0,Greedy,11,35,true,false,false
11,1,8760,FitnessBad0,Greedy,12,39,true,false,false
11,1,27572,FitnessBad0,Greedy,13,45,true,false,false
11,1,41380,FitnessBad0,Greedy,14,51,true,false,false
11,1,78270,FitnessBad0,Greedy,15,56,true,false,false
11,1,87875,FitnessBad0,Greedy,16,60,true,false,false
12,1,9,FitnessBad0,Greedy,8,19,true,false,false
12,1,185,FitnessBad0,Greedy,9,25,true,false,false
12,0,1844,FitnessBad0,Greedy,10,29,true,false,false
12,1,7007,FitnessBad0,Greedy,11,35,true,false,false
12,1,9095,FitnessBad0,Greedy,12,39,true,false,false
12,1,27412,FitnessBad0,Greedy,13,45,true,false,false
12,1,41804,FitnessBad0,Greedy,14,51,true,false,false
12,1,77608,FitnessBad0,Greedy,15,56,true,false,false
12,1,88220,FitnessBad0,Greedy,16,60,true,false,false
13,1,7,FitnessBad0,Greedy,8,19,true,false,false
13,1,214,FitnessBad0,Greedy,9,25,true,false,false
13,0,2031,FitnessBad0,Greedy,10,29,true,false,false
13,1,7258,FitnessBad0,Greedy,11,35,true,false,false
13,1,8828,FitnessBad0,Greedy,12,39,true,false,false
13,1,27437,FitnessBad0,Greedy,13,45,true,false,false
13,1,41729,FitnessBad0,Greedy,14,51,true,false,false
13,1,77895,FitnessBad0,Greedy,15,56,true,false,false
13,1,87666,FitnessBad0,Greedy,16,60,true,false,false
14,1,0,FitnessBad0,Greedy,8,19,true,false,false
14,1,229,FitnessBad0,Greedy,9,25,true,false,false
14,0,1921,FitnessBad0,Greedy,10,29,true,false,false
14,1,7005,FitnessBad0,Greedy,11,35,true,false,false
14,1,8686,FitnessBad0,Greedy,12,39,true,false,false
14,1,27405,FitnessBad0,Greedy,13,45,true,false,false
14,1,41564,FitnessBad0,Greedy,14,51,true,false,false
14,1,78111,FitnessBad0,Greedy,15,56,true,false,false
14,1,87778,FitnessBad0,Greedy,16,60,true,false,false
15,1,19,FitnessBad0,Greedy,8,19,true,false,false
15,1,189,FitnessBad0,Greedy,9,25,true,false,false
15,0,1819,FitnessBad0,Greedy,10,29,true,false,false
15,1,7021,FitnessBad0,Greedy,11,35,true,false,false
15,1,8990,FitnessBad0,Greedy,12,39,true,false,false
15,1,27328,FitnessBad0,Greedy,13,45,true,false,false
15,1,41462,FitnessBad0,Greedy,14,51,true,false,false
15,1,77600,FitnessBad0,Greedy,15,56,true,false,false
15,1,87403,FitnessBad0,Greedy,16,60,true,false,false
16,1,6,FitnessBad0,Greedy,8,19,true,false,false
16,1,224,FitnessBad0,Greedy,9,25,true,false,false
16,0,1875,FitnessBad0,Greedy,10,29,true,false,false
16,1,6954,FitnessBad0,Greedy,11,35,true,false,false
16,1,8668,FitnessBad0,Greedy,12,39,true,false,false
16,1,27085,FitnessBad0,Greedy,13,45,true,false,false
16,1,42482,FitnessBad0,Greedy,14,51,true,false,false
16,1,77713,FitnessBad0,Greedy,15,56,true,false,false
16,1,87401,FitnessBad0,Greedy,16,60,true,false,false
17,1,10,FitnessBad0,Greedy,8,19,true,false,false
17,1,215,FitnessBad0,Greedy,9,25,true,false,false
17,0,1865,FitnessBad0,Greedy,10,29,true,false,false
17,1,6885,FitnessBad0,Greedy,11,35,true,false,false
17,1,8872,FitnessBad0,Greedy,12,39,true,false,false
